Release	Date	Bases	Sequences
213	2016-04-01	2.11424E+11	193739511
214	2016-06-01	2.13201E+11	194463572
215	2016-08-01	2.17971E+11	196120831
216	2016-10-01	2.20731E+11	197390691
217	2016-12-01	2.24973E+11	198565475
218	2017-02-01	2.28719E+11	199341377
219	2017-04-01	2.31825E+11	200877884
220	2017-06-01	2.34997E+11	201663568
221	2017-08-01	2.40343E+11	203180606
222	2017-10-01	2.44915E+11	203953682
223	2017-12-01	2.49722E+11	206293625
224	2018-02-01	2.53631E+11	207040555
225	2018-04-01	2.60189E+11	208452303
226	2018-06-01	2.63958E+11	209775348
227	2018-08-01	2.60807E+11	208831050
228	2018-10-01	2.79668E+11	209656636
229	2018-12-01	2.85689E+11	211281415
