OTU	Domain	Phylum	Class	Order	Family	Genus	Species
Otu08758	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	02d06	02d06_unclassified
Otu08759	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira	Oscillospira_unclassified
Otu08760	Bacteria	Bacteroidetes	Bacteroidetes_unclassified	Bacteroidetes_unclassified	Bacteroidetes_unclassified	Bacteroidetes_unclassified	Bacteroidetes_unclassified
Otu08761	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_unclassified	Lachnospiraceae_unclassified
Otu08762	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	BF311	BF311_unclassified
Otu08763	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae_unclassified	Ruminococcaceae_unclassified
Otu08764	Bacteria	Firmicutes	Erysipelotrichi	Erysipelotrichales	Erysipelotrichaceae	Erysipelotrichaceae_unclassified	Erysipelotrichaceae_unclassified
Otu08765	Bacteria	Bacteroidetes	Bacteroidetes_unclassified	Bacteroidetes_unclassified	Bacteroidetes_unclassified	Bacteroidetes_unclassified	Bacteroidetes_unclassified
Otu08766	Bacteria	Proteobacteria	Proteobacteria_unclassified	Proteobacteria_unclassified	Proteobacteria_unclassified	Proteobacteria_unclassified	Proteobacteria_unclassified
Otu08767	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_unclassified	Lachnospiraceae_unclassified
Otu08768	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	AF12	AF12_unclassified
Otu08769	Bacteria	Bacteroidetes	Bacteroidetes_unclassified	Bacteroidetes_unclassified	Bacteroidetes_unclassified	Bacteroidetes_unclassified	Bacteroidetes_unclassified
Otu08770	Bacteria	Cyanobacteria	4C0d-2	YS2	YS2_unclassified	YS2_unclassified	YS2_unclassified
Otu08771	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
Otu08772	Bacteria	Spirochaetes	Spirochaetes	Spirochaetales	Spirochaetaceae	Spirochaetaceae_unclassified	Spirochaetaceae_unclassified
Otu08773	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Clostridium	Clostridium_unclassified
Otu08774	Bacteria	Tenericutes	Mollicutes	RF39	RF39_unclassified	RF39_unclassified	RF39_unclassified
Otu08775	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_unclassified	Lachnospiraceae_unclassified
Otu08776	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_unclassified	Lachnospiraceae_unclassified
Otu08777	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Shuttleworthia	Shuttleworthia_unclassified
Otu08778	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
Otu08779	Bacteria	Bacteroidetes	Bacteroidetes_unclassified	Bacteroidetes_unclassified	Bacteroidetes_unclassified	Bacteroidetes_unclassified	Bacteroidetes_unclassified
Otu08780	Bacteria	Firmicutes	Erysipelotrichi	Erysipelotrichales	Erysipelotrichaceae	RFN20	RFN20_unclassified
Otu08781	Bacteria	Bacteroidetes	Bacteroidetes_unclassified	Bacteroidetes_unclassified	Bacteroidetes_unclassified	Bacteroidetes_unclassified	Bacteroidetes_unclassified
Otu08782	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
Otu08783	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetales_unclassified	Actinomycetales_unclassified	Actinomycetales_unclassified
Otu08784	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_unclassified
Otu08785	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	garvieae
Otu08786	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides_unclassified
Otu08787	Bacteria	Bacteroidetes	Bacteroidetes_unclassified	Bacteroidetes_unclassified	Bacteroidetes_unclassified	Bacteroidetes_unclassified	Bacteroidetes_unclassified
Otu08788	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_unclassified	Clostridiales_unclassified	Clostridiales_unclassified
Otu08789	Bacteria	Proteobacteria	Proteobacteria_unclassified	Proteobacteria_unclassified	Proteobacteria_unclassified	Proteobacteria_unclassified	Proteobacteria_unclassified
Otu08790	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
Otu08791	Bacteria	Verrucomicrobia	Verruco-5	WCHB1-41	RFP12	RFP12_unclassified	RFP12_unclassified
Otu08792	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Verrucomicrobiaceae_unclassified	Verrucomicrobiaceae_unclassified
Otu08793	Bacteria	Verrucomicrobia	Verruco-5	WCHB1-41	RFP12	RFP12_unclassified	RFP12_unclassified
Otu08794	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonadaceae_unclassified	Porphyromonadaceae_unclassified
Otu08795	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
Otu08796	Bacteria	Verrucomicrobia	Verruco-5	WCHB1-41	RFP12	RFP12_unclassified	RFP12_unclassified
Otu08797	Bacteria	Firmicutes	Erysipelotrichi	Erysipelotrichales	Erysipelotrichaceae	RFN20	RFN20_unclassified
Otu08798	Bacteria	Firmicutes	Erysipelotrichi	Erysipelotrichales	Erysipelotrichaceae	Erysipelotrichaceae_unclassified	Erysipelotrichaceae_unclassified
Otu08799	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae_unclassified	Rikenellaceae_unclassified
Otu08800	Bacteria	Cyanobacteria	4C0d-2	YS2	YS2_unclassified	YS2_unclassified	YS2_unclassified
Otu08801	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_unclassified	Clostridiales_unclassified	Clostridiales_unclassified
Otu08802	Bacteria	Lentisphaerae	[Lentisphaeria]	Z20	R4-45B	R4-45B_unclassified	R4-45B_unclassified
Otu08803	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_unclassified
Otu08804	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
Otu08805	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
Otu08806	Bacteria	Tenericutes	Mollicutes	Anaeroplasmatales	Anaeroplasmataceae	Anaeroplasma	Anaeroplasma_unclassified
Otu08807	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	S24-7_unclassified	S24-7_unclassified
Otu08808	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	S24-7_unclassified	S24-7_unclassified
Otu08809	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
Otu08810	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Succinivibrionaceae	Anaerobiospirillum	Anaerobiospirillum_unclassified
Otu08811	Bacteria	Tenericutes	Mollicutes	RF39	RF39_unclassified	RF39_unclassified	RF39_unclassified
Otu08812	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_unclassified	Clostridiales_unclassified	Clostridiales_unclassified
Otu08813	Bacteria	Bacteroidetes	Bacteroidetes_unclassified	Bacteroidetes_unclassified	Bacteroidetes_unclassified	Bacteroidetes_unclassified	Bacteroidetes_unclassified
Otu08814	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Moryella	Moryella_unclassified
Otu08815	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	[Paraprevotellaceae]	YRC22	YRC22_unclassified
Otu08816	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_unclassified	Clostridiales_unclassified	Clostridiales_unclassified
Otu08817	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_unclassified
Otu08818	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae_unclassified	Ruminococcaceae_unclassified
Otu08819	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
Otu08820	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_unclassified	Lachnospiraceae_unclassified
Otu08821	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Dermacoccaceae	Dermacoccus	Dermacoccus_unclassified
Otu08822	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	Ruminococcus_unclassified
Otu08823	Bacteria	Tenericutes	Mollicutes	RF39	RF39_unclassified	RF39_unclassified	RF39_unclassified
Otu08824	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	Christensenellaceae_unclassified	Christensenellaceae_unclassified
Otu08825	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_unclassified
Otu08826	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_unclassified	Clostridiales_unclassified	Clostridiales_unclassified
Otu08827	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
Otu08828	Bacteria	Tenericutes	Mollicutes	RF39	RF39_unclassified	RF39_unclassified	RF39_unclassified
Otu08829	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella_unclassified
Otu08830	Bacteria	Firmicutes	Erysipelotrichi	Erysipelotrichales	Erysipelotrichaceae	Clostridium	cocleatum
Otu08831	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_unclassified
Otu08832	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
Otu08833	Bacteria	Elusimicrobia	Endomicrobia	Endomicrobia_unclassified	Endomicrobia_unclassified	Endomicrobia_unclassified	Endomicrobia_unclassified
Otu08834	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_unclassified	Lachnospiraceae_unclassified
Otu08835	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_unclassified	Clostridiales_unclassified	Clostridiales_unclassified
Otu08836	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
Otu08837	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae_unclassified	Ruminococcaceae_unclassified
Otu08838	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
Otu08839	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	S24-7_unclassified	S24-7_unclassified
Otu08840	Bacteria	Planctomycetes	Planctomycetia	Pirellulales	Pirellulaceae	Pirellulaceae_unclassified	Pirellulaceae_unclassified
Otu08841	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae_unclassified	Ruminococcaceae_unclassified
Otu08842	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	garvieae
Otu08843	Bacteria	Spirochaetes	Spirochaetes	Spirochaetes_unclassified	Spirochaetes_unclassified	Spirochaetes_unclassified	Spirochaetes_unclassified
Otu08844	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolinaceae	SHD-231	SHD-231_unclassified
Otu08845	Bacteria	Firmicutes	Erysipelotrichi	Erysipelotrichales	Erysipelotrichaceae	L7A_E11	L7A_E11_unclassified
Otu08846	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella_unclassified
Otu08847	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Atopobium	Atopobium_unclassified
Otu08848	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_unclassified
Otu08849	Bacteria	Firmicutes	Firmicutes_unclassified	Firmicutes_unclassified	Firmicutes_unclassified	Firmicutes_unclassified	Firmicutes_unclassified
Otu08850	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
Otu08851	Bacteria	Tenericutes	RF3	ML615J-28	ML615J-28_unclassified	ML615J-28_unclassified	ML615J-28_unclassified
Otu08852	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_unclassified
Otu08853	Bacteria	Bacteroidetes	Bacteroidetes_unclassified	Bacteroidetes_unclassified	Bacteroidetes_unclassified	Bacteroidetes_unclassified	Bacteroidetes_unclassified
Otu08854	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	S24-7_unclassified	S24-7_unclassified
Otu08855	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_unclassified	Lachnospiraceae_unclassified
Otu08856	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_unclassified
Otu08857	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Clostridium	methylpentosum
Otu08858	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella_unclassified
Otu08859	Bacteria	Proteobacteria	Proteobacteria_unclassified	Proteobacteria_unclassified	Proteobacteria_unclassified	Proteobacteria_unclassified	Proteobacteria_unclassified
Otu08860	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
Otu08861	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillales_unclassified	Lactobacillales_unclassified	Lactobacillales_unclassified
Otu08862	Bacteria	Tenericutes	Mollicutes	RF39	RF39_unclassified	RF39_unclassified	RF39_unclassified
Otu08863	Bacteria	Tenericutes	Mollicutes	RF39	RF39_unclassified	RF39_unclassified	RF39_unclassified
Otu08864	Bacteria	Verrucomicrobia	Verruco-5	WCHB1-41	RFP12	RFP12_unclassified	RFP12_unclassified
Otu08865	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Clostridium	Clostridium_unclassified
Otu08866	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
Otu08867	Bacteria	Bacteroidetes	Bacteroidetes_unclassified	Bacteroidetes_unclassified	Bacteroidetes_unclassified	Bacteroidetes_unclassified	Bacteroidetes_unclassified
Otu08868	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_unclassified	Lachnospiraceae_unclassified
Otu08869	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	S24-7_unclassified	S24-7_unclassified
Otu08870	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
Otu08871	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	Parabacteroides_unclassified
Otu08872	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Enterobacteriaceae_unclassified	Enterobacteriaceae_unclassified
Otu08873	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
Otu08874	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella	Shewanella_unclassified
Otu08875	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_unclassified	Clostridiales_unclassified	Clostridiales_unclassified
Otu08876	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	[Paraprevotellaceae]	CF231	CF231_unclassified
Otu08877	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
Otu08878	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_unclassified	Lachnospiraceae_unclassified
Otu08879	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella_unclassified
Otu08880	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_unclassified
Otu08881	Bacteria	Spirochaetes	Spirochaetes	Spirochaetes_unclassified	Spirochaetes_unclassified	Spirochaetes_unclassified	Spirochaetes_unclassified
Otu08882	Bacteria	Firmicutes	Bacilli	Turicibacterales	Turicibacteraceae	Turicibacter	Turicibacter_unclassified
Otu08883	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae_unclassified	Ruminococcaceae_unclassified
Otu08884	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	S24-7_unclassified	S24-7_unclassified
Otu08885	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	RF16	RF16_unclassified	RF16_unclassified
Otu08886	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
Otu08887	Bacteria	Firmicutes	Bacilli	Bacilli_unclassified	Bacilli_unclassified	Bacilli_unclassified	Bacilli_unclassified
Otu08888	Bacteria	Spirochaetes	Spirochaetes	Spirochaetales	Spirochaetaceae	Treponema	Treponema_unclassified
Otu08889	Bacteria	Synergistetes	Synergistia	Synergistales	Dethiosulfovibrionaceae	Dethiosulfovibrionaceae_unclassified	Dethiosulfovibrionaceae_unclassified
Otu08890	Bacteria	Bacteroidetes	Bacteroidetes_unclassified	Bacteroidetes_unclassified	Bacteroidetes_unclassified	Bacteroidetes_unclassified	Bacteroidetes_unclassified
Otu08891	Bacteria	Firmicutes	Firmicutes_unclassified	Firmicutes_unclassified	Firmicutes_unclassified	Firmicutes_unclassified	Firmicutes_unclassified
Otu08892	Bacteria	Verrucomicrobia	Verruco-5	WCHB1-41	RFP12	RFP12_unclassified	RFP12_unclassified
Otu08893	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae_unclassified	Ruminococcaceae_unclassified
Otu08894	Bacteria	Tenericutes	Mollicutes	RF39	RF39_unclassified	RF39_unclassified	RF39_unclassified
Otu08895	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	minor
Otu08896	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Peptostreptococcus	Peptostreptococcus_unclassified
Otu08897	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Peptostreptococcus	Peptostreptococcus_unclassified
Otu08898	Bacteria	Firmicutes	Firmicutes_unclassified	Firmicutes_unclassified	Firmicutes_unclassified	Firmicutes_unclassified	Firmicutes_unclassified
Otu08899	Bacteria	Tenericutes	Mollicutes	RF39	RF39_unclassified	RF39_unclassified	RF39_unclassified
Otu08900	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Facklamia	Facklamia_unclassified
Otu08901	Bacteria	Firmicutes	Clostridia	Clostridiales	[Mogibacteriaceae]	[Mogibacteriaceae]_unclassified	[Mogibacteriaceae]_unclassified
Otu08902	Bacteria	Firmicutes	Firmicutes_unclassified	Firmicutes_unclassified	Firmicutes_unclassified	Firmicutes_unclassified	Firmicutes_unclassified
Otu08903	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_unclassified	Lachnospiraceae_unclassified
Otu08904	Bacteria	Firmicutes	Firmicutes_unclassified	Firmicutes_unclassified	Firmicutes_unclassified	Firmicutes_unclassified	Firmicutes_unclassified
Otu08905	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	adhaesivum
Otu08906	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	S24-7_unclassified	S24-7_unclassified
Otu08907	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
Otu08908	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidales_unclassified	Bacteroidales_unclassified	Bacteroidales_unclassified
Otu08909	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_unclassified	Clostridiales_unclassified	Clostridiales_unclassified
Otu08910	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides_unclassified
Otu08911	Bacteria	Firmicutes	Erysipelotrichi	Erysipelotrichales	Erysipelotrichaceae	p-75-a5	p-75-a5_unclassified
Otu08912	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	S24-7_unclassified	S24-7_unclassified
Otu08913	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	prausnitzii
Otu08914	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
Otu08915	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
Otu08916	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella_unclassified
Otu08917	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae_unclassified	Ruminococcaceae_unclassified
Otu08918	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	ruminicola
Otu08919	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	S24-7_unclassified	S24-7_unclassified
Otu08920	Bacteria	Firmicutes	Firmicutes_unclassified	Firmicutes_unclassified	Firmicutes_unclassified	Firmicutes_unclassified	Firmicutes_unclassified
Otu08921	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella_unclassified
Otu08922	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Balneimonas	Balneimonas_unclassified
Otu08923	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	S24-7_unclassified	S24-7_unclassified
Otu08924	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella_unclassified
Otu08925	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_unclassified	Clostridiales_unclassified	Clostridiales_unclassified
Otu08926	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_unclassified	Lachnospiraceae_unclassified
Otu08927	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	PW3	PW3_unclassified
Otu08928	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae_unclassified	Ruminococcaceae_unclassified
Otu08929	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	Stenotrophomonas_unclassified
Otu08930	Bacteria	Verrucomicrobia	Verruco-5	WCHB1-41	RFP12	RFP12_unclassified	RFP12_unclassified
Otu08931	Bacteria	Bacteroidetes	Bacteroidetes_unclassified	Bacteroidetes_unclassified	Bacteroidetes_unclassified	Bacteroidetes_unclassified	Bacteroidetes_unclassified
Otu08932	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	Ruminococcus_unclassified
Otu08933	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella_unclassified
Otu08934	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_unclassified	Clostridiales_unclassified	Clostridiales_unclassified
Otu08935	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
Otu08936	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
Otu08937	Bacteria	Actinobacteria	Actinobacteria_unclassified	Actinobacteria_unclassified	Actinobacteria_unclassified	Actinobacteria_unclassified	Actinobacteria_unclassified
Otu08938	Bacteria	Firmicutes	Clostridia	Clostridia_unclassified	Clostridia_unclassified	Clostridia_unclassified	Clostridia_unclassified
Otu08939	Bacteria	Bacteroidetes	Bacteroidetes_unclassified	Bacteroidetes_unclassified	Bacteroidetes_unclassified	Bacteroidetes_unclassified	Bacteroidetes_unclassified
Otu08940	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
Otu08941	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella_unclassified
Otu08942	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides_unclassified
Otu08943	Bacteria	Firmicutes	Erysipelotrichi	Erysipelotrichales	Erysipelotrichaceae	p-75-a5	p-75-a5_unclassified
Otu08944	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
Otu08945	Bacteria	Firmicutes	Erysipelotrichi	Erysipelotrichales	Erysipelotrichaceae	L7A_E11	L7A_E11_unclassified
Otu08946	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_unclassified	Clostridiales_unclassified	Clostridiales_unclassified
Otu08947	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	AF12	AF12_unclassified
Otu08948	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium_unclassified
Otu08949	Bacteria	Bacteroidetes	Bacteroidetes_unclassified	Bacteroidetes_unclassified	Bacteroidetes_unclassified	Bacteroidetes_unclassified	Bacteroidetes_unclassified
Otu08950	Bacteria	Bacteroidetes	Bacteroidetes_unclassified	Bacteroidetes_unclassified	Bacteroidetes_unclassified	Bacteroidetes_unclassified	Bacteroidetes_unclassified
Otu08951	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridiaceae_unclassified	Clostridiaceae_unclassified
Otu08952	Bacteria	Bacteroidetes	Bacteroidetes_unclassified	Bacteroidetes_unclassified	Bacteroidetes_unclassified	Bacteroidetes_unclassified	Bacteroidetes_unclassified
Otu08953	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	Christensenellaceae_unclassified	Christensenellaceae_unclassified
Otu08954	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	AF12	AF12_unclassified
Otu08955	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
